month,DE,SK,PL,FR,AT,IT,HU,NL,GB,ES,BE,SE,RO,CH,SI,TR,US,CN,RU,UA,BG,HR,GR,DK,FI,NO,PT,LT,LV,IE
2016-01,82597.061728,27795.5183,14903.824176,12964.154823,9844.711964,9846.170251,7246.182199,6228.339664,14648.91544,7817.320387,6051.880436,3887.254644,3302.37745,3405.009724,1269.724594,2960.423509,5760.444579,2474.128222,3343.430362,943.009675,1183.446551,722.907103,448.190115,2246.302217,1520.456859,1053.519459,1036.561219,662.323252,366.763351,1891.045802
2016-02,89516.237472,28955.541174,16246.956205,13612.951184,11226.619752,11469.013424,7869.072717,6623.422874,15719.962562,8669.350111,6428.486786,4208.945701,3598.129323,4039.010223,1280.693147,3779.967887,6180.671824,2803.847991,4390.681952,1291.808297,1363.708495,837.382438,483.794488,2508.609161,1467.375261,1164.496192,909.453039,780.756251,484.765341,1673.955373
2016-03,93818.001482,28998.661258,17854.811445,14189.549049,11907.357656,11547.23388,7918.437849,6775.537361,14899.577541,8611.904465,7110.429069,4393.058538,3988.832863,4086.351677,1463.500804,3696.658965,6704.849603,3006.495817,4930.812526,1149.591586,1761.126001,1055.300225,613.433156,2365.013921,1464.714874,1172.854622,937.087825,868.46517,551.657286,1470.446876
2016-04,91678.753847,26691.034606,17887.287397,14252.789193,12047.002256,11676.340178,8101.729578,6758.542501,14952.151245,8660.769954,6544.538158,4560.422886,3779.200923,3900.438351,1372.502006,3736.293341,6100.231176,2772.662981,5202.897448,1311.678395,1572.935511,885.077625,556.278878,2386.979967,1430.945966,1431.836714,976.867714,917.642372,470.812102,1042.325001
2016-05,88099.683525,27686.68404,17768.753048,13900.831989,11466.547066,12033.468761,8139.996394,6370.45144,13950.151117,8919.077352,6366.586957,3866.205634,3777.8644,3895.805422,1371.228276,3646.59047,6220.154528,3094.201451,5240.610507,1136.233176,1549.825582,967.571878,566.348183,2084.343647,1342.223429,1258.101704,1031.527815,797.529484,481.348945,957.83058
2016-06,94275.959703,27375.38236,18730.990965,15520.259367,12214.567104,11408.325585,8459.372772,7205.151036,15928.964852,8892.588447,6799.341467,4177.193632,3986.575058,4161.169531,1392.208957,3897.430785,6405.754256,2919.299794,5920.926638,1368.638867,1767.948137,1080.33216,707.967664,2278.786853,1636.142436,1322.79927,1023.436644,951.31417,527.571598,1012.254899
2016-07,75803.227773,20373.512323,13959.224102,12327.95921,9914.07928,9491.871233,7143.313289,5457.435187,9978.405514,5493.074315,4410.167278,2441.718472,3156.222648,3119.308892,1071.430498,2383.37827,5560.169656,2745.881225,4975.286109,1216.428145,1257.874372,784.157624,523.72869,1674.309223,934.123818,936.860478,714.471368,854.855922,743.986373,523.649786
2016-08,87491.051406,25055.567651,16307.189562,11180.566013,11545.110271,8259.943352,7649.690285,6137.861362,14022.633072,5733.945679,6114.742478,3683.228394,3570.380805,4454.87051,1241.121456,2809.54022,5842.790505,2870.743264,5894.527418,1787.670087,1597.266375,923.759785,464.032297,2055.773458,1310.022084,1323.457742,740.907459,912.426769,467.738418,490.454226
2016-09,91049.237125,26209.574504,18244.090681,14546.618296,12684.296362,11977.937001,8836.323733,7024.344603,14136.132638,8812.37361,6412.814928,4422.48592,4072.407083,4752.660749,1514.04281,3836.956459,6549.401622,3225.550178,5570.092964,1765.843141,1579.887997,1063.936177,579.377682,2079.31316,1360.183633,1352.415516,901.526576,1209.457465,498.303492,449.323054
2016-10,91776.075,27191.68951,17201.567788,14530.51349,12238.979965,11557.234304,8313.484825,6855.24779,13817.044213,8437.901769,6487.277041,4208.685873,4016.043641,3991.723949,1331.451916,3868.600464,6372.661398,3038.084229,5769.065565,1743.669533,1517.919886,964.87729,490.696834,2127.822729,1342.323659,1426.423553,821.423207,996.407617,416.58578,1078.474515
